,name,rating,price,Total Reviews
104,Asus 14 X415EA Intel Core i5 1135G7 14 Inch FHD Display Transparent Silver Laptop #EB636T/EB225T-X415EA,5,"66,500",1.0
105,HP 14s-dq2675TU 11th Gen Intel Core i5 1135G7 14 Inch FHD Display Silver Laptop #4D9N9PA-2Y,0,"68,000",
106,Acer Aspire 5 A515-56-591A Intel Core i5 1135G7 15.6 Inch FHD Display Pure Silver Laptop,5,"68,500",2.0
107,Asus 15 X515EA Intel Core i5 1135G7 15.6 Inch FHD Display Finger Slate Grey Laptop #EJ1331T-X515EA,0,"68,500",
108,Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel Core i5 1135G7 15.6 Inch FHD Antiglare Display Abyss Grey Laptop #82H800SDIN-2Y,4,"69,000",2.0
109,Acer Aspire 5 A514-54-5526 Intel Core i5 1135G7 14 Inch FHD IPS Display Charcoal Black Laptop,5,"70,000",2.0
110,Asus VivoBook 15 X515JP Intel Core i5 1035G1 15.6 Inch FHD DisplayTransparent Silver Laptop,5,"71,500",1.0
111,Asus VivoBook 15 X515JP Intel Core i5 1035G1 15.6 Inch FHD Display Slate Grey Laptop,5,"71,500",1.0
112,Dell Inspiron 15-5570 Intel Core i7 8550U 15.6 Inch Full HD Platinum Silver Laptop,0,"72,000",
113,Acer Aspire 5 A514-54-51YV Intel Core i5 1135G7 14 Inch FHD IPS Display Safari Gold Laptop,5,"72,500",1.0
114,Dell Inspiron 15 3501 Intel Core i5 1135G7 15.6 Inch FHD Display Win 10 Silver Soft Mint Laptop #BULLN315TGL21054465-2Y,5,"72,500",1.0
115,Acer Aspire 3 A315-58G-54LW Intel Core i5 1135G7 15.6 Inch FHD Pure Silver Laptop #NX.ADUSI.003,0,"73,000",
116,Lenovo IdeaPad S340-15IWL Intel Core i7 8565U 15.6 Inch FHD IPS Display Platinum Grey Laptop,0,"73,500",
117,Asus VivoBook 15 K513EA Intel Core i5 1135G7 15.6 Inch FHD Display Indie Black Laptop #BQ926T-K513EA,0,"73,500",
118,Avita LIBER V AMD Ryzen 7 3700U 14 Inch FHD Display Anchor Grey Laptop,4,"73,990",2.0
119,Avita LIBER V AMD Ryzen 7 3700U 14 Inch FHD Display Star Silver Laptop,4,"73,990",2.0
120,Asus VivoBook 15 K513EA Intel Core i5 1135G7 15.6 Inch FHD Display Hearty Gold Laptop #BQ924T-K513EA,0,"74,000",
121,Asus VivoBook 15 K513EA Intel Core i5 1135G7 15.6 Inch FHD Display Transparent Silver Laptop #BQ925T-K513EA,0,"74,000",
122,Asus ZenBook UX430UQ Intel Core i5 7200U 14 Inch FHD LED Gold Metal Laptop,0,"75,000",
123,Dell Inspiron 15-5502 Intel Core i5 1135G7 15.6 Inch FHD Display Silver Soft Mint Laptop #MOCKINGN515TGL21053307-2Y,5,"75,000",1.0
124,Acer Swift 3 SF314-42 AMD Ryzen 5 4500U 14 Inch FHD Display Silver Laptop,5,"75,500",2.0
125,Acer Aspire 5 A514-54G-50UR Intel Core i5 1135G7 14 Inch FHD IPS Display Pure Silver Laptop,5,"76,000",2.0
126,Lenovo IdeaPad Slim 5i 15ITL Intel Core i5 1135G7 15.6 Inch IPS Display Graphite Grey Laptop #82FG00W3IN-2Y,5,"76,000",1.0
127,Asus VivoBook S14 S433EA Intel Core i5 1135G7 14 Inch FHD LED Display Indie Black Laptop,5,"78,000",1.0
128,Asus VivoBook S14 S433EA Intel Core i5 1135G7 14 Inch FHD LED Display Win 10 Indie Black Laptop,5,"78,000",1.0
129,Asus ZenBook 14 UX425JA Intel Core i5 1035G1 14 Inch FHD Display Pine Grey Laptop #BM073T-UX425JA,5,"78,000",1.0
130,Asus VivoBook S14 S433EA Intel Core i5 1135G7 14 Inch FHD LED Dreamy White Laptop #AM852T-S433EA,5,"78,000",1.0
131,Asus VivoBook S14 S433EA 11th Gen Intel Core i5 1135G7 14 Inch FHD LED Display Gaia Green Laptop #AM850T-S433EA,5,"78,000",1.0
132,Asus VivoBook S14 S433EA 11th Gen Intel Core i5 1135G7 14 Inch FHD LED Display Indie Black Laptop #AM851T-S433EA,5,"78,000",1.0
133,Asus VivoBook 15 K513EP Intel Core i5 1135G7 15.6 Inch FHD Display Indie Black Laptop #BQ301T-K513EP,0,"80,000",
134,Asus VivoBook S15 M533IA AMD Ryzen 7 4700U 15.6 Inch FHD Display Gaia Green Laptop #BQ309T-M533IA,0,"80,000",
135,Asus VivoBook S15 M533IA AMD Ryzen 7 4700U 15.6 Inch FHD Display Dreamy White Laptop #BQ314T-M533IA,0,"80,000",
